日期,標題,內容,網址
2019/09/17,Nike Air Force 1 綁帶版本造型鞋款曝光！,"Nike 近日曝光了兩款全新 Air Force 1 High 設計，共釋出有兩款配色，分別以黑紫及純白配色作為呈現，而 亮點之處在於鞋舌處看到了「X」狀魔鬼氈設計綁帶的前衛造型，設計感十足。此系列鞋款尚未曝光相關販售訊息，感興趣的朋友不妨持續關注後續的最新消息。
 









 
",http://overdope.com/archives/436255
2019/09/17,Nike Air Force 1 「黑色骷髏」萬聖節款,"在去年發布了萬聖節主題的白色設計款之後，Nike 將在今年的萬聖節再度帶回同樣設計，卻以新的「黑色骷髏」版本作為呈現。設計上在黑色鞋身上能看到一個腳骨的 X 光透視圖，而設計也將延伸至鞋墊上。而鞋身是否會像去年同樣擁有夜光效果尚不得而知。Nike Air Force 1 「黑色骷髏」萬聖節款預計將於 2019 年 10 月 25 日發布，價格為 $130 美元。


2018 Nike Air Force 1 「白色骷髏」款


",http://overdope.com/archives/436242
2019/09/16,重磅曝光！Travis Scott x AJ 1 新配色已經偷偷上腳！?,"曾傳出可能會成為親友限定配色的圖片上這雙 Travis Scott x Air Jordan 1 「倒鉤」設計聯名鞋款， 現在也正式出現而上腳的實穿圖片。設計上再度是以大地系配色作為主要呈現、撞色風格十分強烈。雖然傳出無緣市售的消息，若是真的推出你會想要入手嗎？
 

 
",http://overdope.com/archives/436233
2019/09/16,Virgil Abloh x MCA X AF 1 一雙近「10 萬」台幣的客製款，再怎麼土豪，是你會買嗎？,"以「X 光」透視元素作為發想並使用在此次 MCA Chicago 限定版本的 Virgil Abloh x Nike Air Force 1 設計中，藝術家 Cassius Hirst 是此次催生這款高價限量鞋款的重點人物。設計上以白色人體骨骼結構，搭配藍色鞋身讓鞋款視覺效果增色許多。而這樣的客製創意最終也獲得了 MCA Chicago 芝加哥當代美術館的認可，推出了售價 $3,000 美金 (約 9 萬 3 台幣)、限量 20 雙的 天價限量鞋款 Virgil Abloh x MCA x Cassius Hirst x Nike Air Force 1 限量鞋款。如此昂貴價格搭配 MCA 官方背書，有錢的話似乎可考慮收藏？Ebay 上最新的炒賣價格也來到了 $7,500 美金、約 22 萬台幣之譜。
 








",http://overdope.com/archives/436221
2019/09/16,CPFM x AF1 連 Travis Scott 都來挺一波,"透過 Asap Bari 首度曝光後，Cactus Plant Flea Market 與 Nike 的聯名 Air Force 1 也首度浮上檯面。而更沒想到的是，今日 Travis Scott 發佈的 IG 貼文上更看到他穿上了這雙鞋款。但與 Asap Bari 曝光的不同處在於，此次露出的設計以全白作為呈現，也讓人合理懷疑 Cactus Plant Flea Market 與 Nike 的合作是否背後有更多的款式將會推出？讓我們一同拭目以待。
 
   
",http://overdope.com/archives/436216
2019/09/14,這次不靠 Levi’s 直接自己出！AJ 6 丹寧配色登場！,"雖然最近 AJ1 的新聞比較多，但今日卻看到了 Air Jordan 6 的全新丹寧配色正式曝光。整體配色以藍色經典丹寧水洗刷色呈現。據已釋出的消息表示此款水洗丹寧版 Air Jordan 6 配色預計於今年 12 月 28 日展開發售，感興趣的朋友不妨先行參考。

 
 
 
",http://overdope.com/archives/436184
2019/09/14,一次曝光三款！YEEZY POWERPHASE 新配色登場,"YEEZY 新鞋型與配色的消息不斷持續曝光，而此次看到了 YEEZY 系列中復古鞋型 YEEZY POWERPHASE 將一次推出三款新配色包括了淺灰、米灰與棕灰等灰色系配色呈現。YEEZY POWERPHASE 目前預計發售時間為 9 月 18 日，感興趣的朋友們不妨參考一番。

 

 

 
",http://overdope.com/archives/436182
2019/09/13,YEEZY BASKETBALL「Black」 細節圖片曝光！,"近期看過了 YEEZY BASKETBALL 籃球鞋發售日期曝光的報導之後，現在有關 YEEZY BASKETBALL 新配色「Black」的細節圖片也跟著接踵而來。
YEEZY BASKETBALL「Black」以 YEEZY BOOST 350 系列鞋型作為延伸，加入了高筒式的護腳腕設計， 鞋身以全黑配色、搭配 3M 亮點反光效果內襯呈現。YEEZY BASKETBALL「Black」 預計於 2020 年 2 月份展開發售，有興趣的朋友還必須在等待一段時間了。
 









 
 
",http://overdope.com/archives/436178
2019/09/13,Crocs 最強勁對手竟然會是 Yeezy 嗎？！,"不久前大家曾看到肯爺 Kanye West 的愛女 North West 穿上了 YEEZY 系列中的最新 Foam 鞋款，而今日這款 YEEZY Foam Runner 的全貌也終於正式釋出。 YEEZY Foam Runner 透過流線型鞋身搭配孔狀設計呈現，以全白配色作為主軸，從材質與孔口設計來看，都容易讓人聯想到 Crocs 洞洞鞋。此雙 YEEZY Foam Runner 預計於 2020 年正式推出販售，屆時對 Crocs 是否會帶來強大的威脅呢？
 


 
 
",http://overdope.com/archives/436176
2019/09/13,YEEZY BOOST 350 V2「Cloud White」更多圖片曝光！,"9 月的球鞋發表相當緊湊，尤其是 YEEZY 系列預計 要為鞋頭帶來 9 款設計發表。而其中最受矚目之一的 YEEZY BOOST 350 V2「Cloud White」 也釋出了最終確認的設計與圖片如下。冰藍色的主色調與乳白色中底的搭配呈現，中底則當然仍是使用了招牌 BOOST 科技。本次 YEEZY BOOST 350 V2「Cloud White」 預計將於 9 月 21 日正式展開發售，。 感興趣的朋友務必鎖定。
關於 Kanye West 的新聞近來也是不少，包括了肯爺蓋的房子投訴被迫拆除之後，這次直接買下 1,300 坪土地、不只瘋狂出鞋，現在肯爺還要找來 KID CUDI 瘋狂出歌！與肯嫂背書還不夠！肯爺親自宣布新專輯發佈！等。只能說 Yeezy 真是動作不斷。
 






 
 
",http://overdope.com/archives/436174
2019/09/13,到處亂色！Air Jordan 1 Mid 繽紛拼接配色曝光," 
Air Jordan 1 配色陸續發表，這次透過情報賬號 @US_11 帶來了一款 Air Jordan 1 Mid 全新配色的曝光。配色上採用包括了黑、紫、青色等多彩色塊拼接，營造出不對稱的鴛鴦配色勾勒出視覺衝擊。此鞋款尚未有完整販售消息，感興趣的朋友不妨持續關注 OVERDOPE 所帶來的最新消息。
 


",http://overdope.com/archives/436169
2019/09/12,余文樂繼續靠 New Balance 撈金，曝光 Madness 最新聯名鞋款,"余文樂在個人 IG 限時動態中曝光了一款 MADNESS 與 New Balance 的最新聯名鞋款圖片。從局部圖看來鞋型可能是選用了 New Balance 997 的經典系列，而 997 同時也是余文樂個人最鍾情的鞋型之一。鞋跟處可看到 MADNESS 的招牌 Logo。 此聯名鞋款目前尚未有完整的販售資訊，感興趣的朋友不妨鎖定 OVERDOPE 的追蹤報導訊息。






 
",http://overdope.com/archives/436159
2019/09/12,上腳後感覺很優秀？Virgil Abloh x Nike SB Dunk「Michigan」實著曝光,"Virgil Abloh x Nike SB Dunk「Michigan」 全新配色於近期曝光之後，現在也終於帶來了實鞋上腳的圖片。整體配色選用經典的藍/橘黃色「Michigan」 色調呈現，可以看到鞋帶的綁法會是最大亮點與創意發揮的地方。Virgil Abloh x Nike SB Dunk 「Michigan」 預計將於今年 10 月份展開發售，感興趣的朋友們 務必關注 OVERDOPE 後續追蹤報導。
 











 
",http://overdope.com/archives/436157
2019/09/12,硬起來！Converse 推出迷彩軍事風格籃球鞋,"今年 Converse 推出了全新籃球鞋 All Star Pro BB，再度宣告回歸品牌最初熟悉的籃球領域。近日也曝光了一款全新「Star Series BB」籃球鞋款。
設計上看到採用黃迷彩與黑迷彩等配色，鞋面選用網狀織物與皮革打造，鞋款看起來也相當具有實搭功能。「Star Series BB」全新籃球鞋已在 Converse 官網推出，喜歡的朋友不妨參考。











 

 
",http://overdope.com/archives/436153
2019/09/12,大 Air 出新招？CPFM X Air Force 1 搶眼曝光,"CPFM X Air Force 1 的全新聯名鞋款於今日在 VLONE 主理人的 IG 頁面中曝光，看到了此次以 Nike Air Force 1 Low 為藍本打造，設計上以白色皮革面料打造，搭配相似於 Uptempo 的大 Air 設計呈現。此款 CPFM x Nike Air Force 1 Low 預計將於今年秋季發佈，感興趣的朋友不妨參考一番。



",http://overdope.com/archives/436150
2019/09/12,菲董 x adidas 最新系列鞋款一次看個夠！,"近期 Pharrell Williams x adidas 聯名系列曝光了多款 NMD 新配色的露出，而 adidas 市場銷售總監 Jon Wexler 本人也於近日 IG 上分享了一組有關 Pharrell Williams x adidas 合作的全貌聯乘鞋款。
圖中可看到包括 NMD 、HU 以及多種配色涼鞋等鞋款，果然符合菲董一出就出一卡車的風格。根據消息指出，此系列的 Pharrell Williams x adidas 合作鞋款將於 9 月 13 日正式發售，感興趣的朋友們不妨先行考慮一番。

 
 
",http://overdope.com/archives/436148
2019/09/12,鞋頭黑人陳建州曝光！CDG x Air Jordan 1 即將登場！？,"近期黑人陳建州就曬出的黑/白配色 Comme des Garçons Homme Plus x Air Jordan 1 鞋款後，便讓我們嗅到了發售將近的訊息。而現在也曝光了更多的實品照片曝光；設計上鞋款以 Air Jordan 1 作為使用，注入 CDG 設計美學帶出質感，面料上使用皮革呈現，同時透過大量解構設計如延長的鞋舌設計，勾勒出搶眼氛圍。其中最大的亮點包括可拆卸的皮革金屬綁帶。此鞋預計於 9 月 14 日上架發售，喜歡的朋友不妨參考一番。

















 
 
",http://overdope.com/archives/436146
2019/09/11,最騷包 Air Jordan 8「Multi-Color」登場，但我們可能買不到？！,"Air Jordan 8「Multi-Color」以清新霓虹配色之姿獨家登陸 Dover Street Market 上架突襲發售，同時因為數量有限，才推出上架就已經被秒掉。透過 Air Jordan 8「Multi-Color」 的官方圖片，可看到鞋款整體以白/冷灰色調為主，搭配亮藍色鞋面與粉紅色的透明材質交叉綁帶，同時看到鞋身中底處透過黃色細節點綴，充滿了十足設計感。Air Jordan 8「Multi-Color」目前尚未有對外市售計畫的消息傳出，感興趣的朋友可能要再等一等了。








 
",http://overdope.com/archives/436144
2019/09/11,Converse Addict 將與 NIGO 展開合作，炒賣市場準備？,"Converse Addict 即將帶來與 NIGO® 的全新設計合作，推出「Chuck Taylor Suede NIGO® Z Hi」，官方也於第一時間曝光了相關圖片。設計上面物料選擇了䴩皮物料製成，搭配 GORE-TEX 機能防水物料能應付日常惡劣天氣環境。全新 Converse Addict 系列預計於 10 月到 11 月間陸續上架，感興趣的朋友不妨鎖定 OVERDOPE 的追蹤報導訊息。
 


 
 
",http://overdope.com/archives/436136
2019/09/11,Off-White x Nike 2020年聯名最新企劃曝光？,"近來的 Dunk 新聞不斷露出，可想而知 Dunk 系列將會再掀起一波高潮，然而這一切可能才只是開始。今日 IG 上的賬號 @SHOF 爆料指出 Off-White 預計將會與 Nike 打造的全新 Dunk 鞋型「Air Rubber Dunk」，同時預計將於 2020 年春季推出。
「Air Rubber Dunk」目前無任何諜照曝光，但相信這個消息一傳出來，現在只要坐等圖片於近期曝光就可以了。
 
 
",http://overdope.com/archives/436134
2019/09/11,Travis Scott 聯名款的替代方案！AJ 1「Dark Mocha」 配色曝光！,"先大膽預言，2020 年將會是屬於 Air Jordan I 的年份！截至目前預計將於 2020 年釋出的 Air Jordan I 鞋款，已包括了有 「Chicago」 、「Royal Toe」 、「Gucci」 、「Court Purple」等多款配色，而現在更曝光了一雙全新「Dark Mocha」 配色，而這配色更恰巧可以成為 Travis Scott 聯名款的完美替代！
「Dark Mocha」以白色作為基底色搭配深咖色鞋身細節與黑色 Nike 勾勾呈現，而根據 IG 情報賬號 @ zsneakerheadz 爆料指出，「Dark Mocha」將於 2020 年 6 月正式推出，感興趣的朋友不妨鎖定 OVERDOPE 的追蹤報導訊息。

Travis Scott X AJ 1
更多 Travis Scott 新聞點此
 
 
",http://overdope.com/archives/436131
