標題,發文時間,鞋評內容
[Sole Fresh] 2017大魔王 AIR JORDAN 11 Retro－ “WIN LIKE 82” ,2017年10月31日 星期二,"



“WIN LIKE 82”除了AIR JORDAN XXXII LOW之外，還有大家最愛的 AIR JORDAN XI。傳統白色尼龍面布搭配深海藍色漆皮，後跟JUMPMAN LOGO則以大家最熟悉的北卡藍作為配色,向他的母校以及 82 年拉開其傳奇序幕的勝利致敬。




“WIN LIKE 82”系列靈感來源於1982年Michael Jordan帶領母校－北卡羅萊納大學（簡稱：北卡或UNC）殺入 NCAA 大學籃球總決賽，當時年僅19歲的 Michael Jordan，在最後的時刻投進了關鍵致勝一球，以1分之微擊敗對手Geogetown Hoyas，成功為北卡奪得當年 NCAA 總冠軍。





是次AIR JORDAN XI－ “WIN LIKE 82” 漆皮部份的剪裁與上年的 Air Jordan XI Retro ""SPACE JAM""相差無異，比以過往的Air Jordan XI Retro 版本拉高了，而且漆皮部份的邊位更保留了剪裁點細節。













水晶外底搭配黑藍交織的碳纖維承托板





Air Jordan 11 Retro “WIN LIKE 82” / ""UNC""產品編號：378037-123




當然不少得實著分享吧！！！







雖然是深藍的“WIN LIKE 82”，但小篇覺得它卻有一絲""Concord""的味道。


#TalkSole #SoleFresh #UNC #NCAA #Championship #AirJordanXI #WinLike82 #UNCBASKETBALL 


"
[Sole Fresh] 2017大魔王 AIR JORDAN 11 Retro－ “WIN LIKE 82” ,2017年10月31日 星期二,"



“WIN LIKE 82”除了AIR JORDAN XXXII LOW之外，還有大家最愛的 AIR JORDAN XI。傳統白色尼龍面布搭配深海藍色漆皮，後跟JUMPMAN LOGO則以大家最熟悉的北卡藍作為配色,向他的母校以及 82 年拉開其傳奇序幕的勝利致敬。




“WIN LIKE 82”系列靈感來源於1982年Michael Jordan帶領母校－北卡羅萊納大學（簡稱：北卡或UNC）殺入 NCAA 大學籃球總決賽，當時年僅19歲的 Michael Jordan，在最後的時刻投進了關鍵致勝一球，以1分之微擊敗對手Geogetown Hoyas，成功為北卡奪得當年 NCAA 總冠軍。





是次AIR JORDAN XI－ “WIN LIKE 82” 漆皮部份的剪裁與上年的 Air Jordan XI Retro ""SPACE JAM""相差無異，比以過往的Air Jordan XI Retro 版本拉高了，而且漆皮部份的邊位更保留了剪裁點細節。













水晶外底搭配黑藍交織的碳纖維承托板





Air Jordan 11 Retro “WIN LIKE 82” / ""UNC""產品編號：378037-123




當然不少得實著分享吧！！！







雖然是深藍的“WIN LIKE 82”，但小篇覺得它卻有一絲""Concord""的味道。


#TalkSole #SoleFresh #UNC #NCAA #Championship #AirJordanXI #WinLike82 #UNCBASKETBALL 


"
[Sole師傅鞋評] Lebron XV • 系列代表作,2017年10月29日 星期日,"







小編自LebronX後從無間斷過任何主線/ 副線Soldier 系列。

而LebronX一路以來在心目中的地位一向都佔重要一席位。

因為他那全腳掌Zoom Max + 一個又一個獨特的配色，使得我人生第一次一款鞋入手兩個配色，對當時還是學生時代的我，算是相當大負擔，但亦證明LebronX對我的吸引力。

但自第10代後，都感覺到系列遇上了瓶頸，第11代的可拆卸鞋墊還好，但每代總有一種舊酒新瓶的感覺。第12-14代則尤其明顯。
第10代以後的每一代都回不了第10代那時的輝煌成就，當年即使標著$180的標價，亦無阻它登上當年銷售量皇者的寶座。一眾配色，以明星賽的Area72 為首等配色都掀起一陣搶購潮，可謂是系列的一個高潮。隨後的每一代無論在配色，話題，曝光率都不再是同一層次。




2017年，終於迎來系列第15代。

終於見證著Zoom Max 的回歸。

亦終於在詹皇系列用上了以詹皇量身改良過的Flyknit，名為BattleKnit。



BattleKnit 本身已令配色靈活性大大提高，首發的Ghost 及其後的Ashes都令人心動，無論在場內/場外著用都通能夠輕鬆駕馭。更何況和KITH聯乘的Lebron 15亦絕對有話題性及注目度。



對Ashes 配色的簡評已於早日發佈。



今日，就一起瞭解一下它表現有否配得上大家對它一路以來的期待。



小編評測資料:

身高: 189cm

體重: 180 lbs

打法: 3,4,5 號位為主



注意！！

雖然鞋面比過往幾代來得有彈性及柔軟，綁緊鞋帶後貼服程度都比之前好，但始終都是一體式鞋面，建議先試試碼數。小編就一路其他鞋款都是US11, Lebron 12往後都穿著US10.5，試過穿著US11, 鞋面，鞋頭總有種鞋帶如何努力綁都綁不緊，不貼服的感覺。US10.5則剛好。




緩震: 10/10 (貼地感愛好者: 7/10)

10分滿分。

將評價甚高第十代的中底Zoom Max 的優點繼續承傳，再將中底硬梆梆，不夠靈活性的垢病改良成分割式，令到今代能在優越緩震及反應性中亦不失靈活度。


首先得先澄清，個人鐘愛於緩震大於貼地感。於這部分如果重視貼地感的朋友可能會不太喜愛。



前掌Zoom Max 感覺用上更高psi去提高反應及穩定性。所以亦較難感受到明顯彈彈的感覺，換來比較平穩，但安心亦足夠的回饋。


Traction 抓地力: 10/10

這次用上很進取的紋路。


在每一塊都用上立體突出的紋路，在室外，室內都提供到安心的抓地力。唯一要擔心是外底紋路的耐磨性，始終進取的外底相對上都會因磨擦而損耗。


Fit & Support 包覆及支撐 9/10

鞋面物料的改變，最明顯改善的範疇就是這項。

過往幾代詹皇鞋款鞋面都為一體式再加以搭載Flywire。鞋面雖然物料一路都有變更，但始終都偏硬。容易由於鞋頭至中足有空隙而導致的不貼服及不舒適。


而今代改用了更為軟身但亦保持所需結構性的BattleKnit。


本身鞋面正中已充滿彈性方便著用，提高舒適性。而在需要支撐及保護的區域如前掌外側，中足，足跟都有Flywire 或加以提高支持性的BattleKnit 覆蓋。

腳跟內亦有足夠填充物去使足跟不會移位，最頂鞋帶孔亦可以將腳跟牢牢鎖實。

加上只在3/4腳掌用上Zoom Max 中底，前掌前端則只用上Phylon, 在前掌外側的接駁位亦有考慮到因為中底緩震因素而導致的不穩定性而以Phylon包覆。



總括來說，無論你是Lebron 粉絲，還是厭惡他都好。Lebron15是一對如果對球鞋科技有要求或好奇的人都應該一試。更何況我認為它即使只作休閒鞋的話亦絕無失禮。當然，打算一物兩用就更加划算了。






找了一堆舊照片，看著Lebron 系列自第十代後的改變，來到了今年第15代終於再次掀起一陣令我對每只配色都有衝動想入手的感覺。很懷念，亦很欣慰，Nike 的老大哥Lebron James的簽名款終於都再次對得起它的標價和期望。
期待著聖誕，明星賽將有的配色，更期待到季後賽Nike會否將十五代將次帶入Elite 系列之類的






































































"
[Sole Fresh] 2017大魔王 AIR JORDAN 11 Retro－ “WIN LIKE 82” ,2017年10月31日 星期二,"



“WIN LIKE 82”除了AIR JORDAN XXXII LOW之外，還有大家最愛的 AIR JORDAN XI。傳統白色尼龍面布搭配深海藍色漆皮，後跟JUMPMAN LOGO則以大家最熟悉的北卡藍作為配色,向他的母校以及 82 年拉開其傳奇序幕的勝利致敬。




“WIN LIKE 82”系列靈感來源於1982年Michael Jordan帶領母校－北卡羅萊納大學（簡稱：北卡或UNC）殺入 NCAA 大學籃球總決賽，當時年僅19歲的 Michael Jordan，在最後的時刻投進了關鍵致勝一球，以1分之微擊敗對手Geogetown Hoyas，成功為北卡奪得當年 NCAA 總冠軍。





是次AIR JORDAN XI－ “WIN LIKE 82” 漆皮部份的剪裁與上年的 Air Jordan XI Retro ""SPACE JAM""相差無異，比以過往的Air Jordan XI Retro 版本拉高了，而且漆皮部份的邊位更保留了剪裁點細節。













水晶外底搭配黑藍交織的碳纖維承托板





Air Jordan 11 Retro “WIN LIKE 82” / ""UNC""產品編號：378037-123




當然不少得實著分享吧！！！







雖然是深藍的“WIN LIKE 82”，但小篇覺得它卻有一絲""Concord""的味道。


#TalkSole #SoleFresh #UNC #NCAA #Championship #AirJordanXI #WinLike82 #UNCBASKETBALL 


"
[Sole師傅鞋評] Lebron XV • 系列代表作,2017年10月29日 星期日,"







小編自LebronX後從無間斷過任何主線/ 副線Soldier 系列。

而LebronX一路以來在心目中的地位一向都佔重要一席位。

因為他那全腳掌Zoom Max + 一個又一個獨特的配色，使得我人生第一次一款鞋入手兩個配色，對當時還是學生時代的我，算是相當大負擔，但亦證明LebronX對我的吸引力。

但自第10代後，都感覺到系列遇上了瓶頸，第11代的可拆卸鞋墊還好，但每代總有一種舊酒新瓶的感覺。第12-14代則尤其明顯。
第10代以後的每一代都回不了第10代那時的輝煌成就，當年即使標著$180的標價，亦無阻它登上當年銷售量皇者的寶座。一眾配色，以明星賽的Area72 為首等配色都掀起一陣搶購潮，可謂是系列的一個高潮。隨後的每一代無論在配色，話題，曝光率都不再是同一層次。




2017年，終於迎來系列第15代。

終於見證著Zoom Max 的回歸。

亦終於在詹皇系列用上了以詹皇量身改良過的Flyknit，名為BattleKnit。



BattleKnit 本身已令配色靈活性大大提高，首發的Ghost 及其後的Ashes都令人心動，無論在場內/場外著用都通能夠輕鬆駕馭。更何況和KITH聯乘的Lebron 15亦絕對有話題性及注目度。



對Ashes 配色的簡評已於早日發佈。



今日，就一起瞭解一下它表現有否配得上大家對它一路以來的期待。



小編評測資料:

身高: 189cm

體重: 180 lbs

打法: 3,4,5 號位為主



注意！！

雖然鞋面比過往幾代來得有彈性及柔軟，綁緊鞋帶後貼服程度都比之前好，但始終都是一體式鞋面，建議先試試碼數。小編就一路其他鞋款都是US11, Lebron 12往後都穿著US10.5，試過穿著US11, 鞋面，鞋頭總有種鞋帶如何努力綁都綁不緊，不貼服的感覺。US10.5則剛好。




緩震: 10/10 (貼地感愛好者: 7/10)

10分滿分。

將評價甚高第十代的中底Zoom Max 的優點繼續承傳，再將中底硬梆梆，不夠靈活性的垢病改良成分割式，令到今代能在優越緩震及反應性中亦不失靈活度。


首先得先澄清，個人鐘愛於緩震大於貼地感。於這部分如果重視貼地感的朋友可能會不太喜愛。



前掌Zoom Max 感覺用上更高psi去提高反應及穩定性。所以亦較難感受到明顯彈彈的感覺，換來比較平穩，但安心亦足夠的回饋。


Traction 抓地力: 10/10

這次用上很進取的紋路。


在每一塊都用上立體突出的紋路，在室外，室內都提供到安心的抓地力。唯一要擔心是外底紋路的耐磨性，始終進取的外底相對上都會因磨擦而損耗。


Fit & Support 包覆及支撐 9/10

鞋面物料的改變，最明顯改善的範疇就是這項。

過往幾代詹皇鞋款鞋面都為一體式再加以搭載Flywire。鞋面雖然物料一路都有變更，但始終都偏硬。容易由於鞋頭至中足有空隙而導致的不貼服及不舒適。


而今代改用了更為軟身但亦保持所需結構性的BattleKnit。


本身鞋面正中已充滿彈性方便著用，提高舒適性。而在需要支撐及保護的區域如前掌外側，中足，足跟都有Flywire 或加以提高支持性的BattleKnit 覆蓋。

腳跟內亦有足夠填充物去使足跟不會移位，最頂鞋帶孔亦可以將腳跟牢牢鎖實。

加上只在3/4腳掌用上Zoom Max 中底，前掌前端則只用上Phylon, 在前掌外側的接駁位亦有考慮到因為中底緩震因素而導致的不穩定性而以Phylon包覆。



總括來說，無論你是Lebron 粉絲，還是厭惡他都好。Lebron15是一對如果對球鞋科技有要求或好奇的人都應該一試。更何況我認為它即使只作休閒鞋的話亦絕無失禮。當然，打算一物兩用就更加划算了。






找了一堆舊照片，看著Lebron 系列自第十代後的改變，來到了今年第15代終於再次掀起一陣令我對每只配色都有衝動想入手的感覺。很懷念，亦很欣慰，Nike 的老大哥Lebron James的簽名款終於都再次對得起它的標價和期望。
期待著聖誕，明星賽將有的配色，更期待到季後賽Nike會否將十五代將次帶入Elite 系列之類的






































































"
[Sole 聞風]  Eliud Kipchoge分享《Breaking2》的背後,2017年10月26日 星期四,"


















里約奧運馬拉松金牌得主Eliud Kipchoge近日來港與一眾傳媒跑手及本地跑步愛好者分享，除了一同欣賞由National Geographic和Nike合作完成的《Breaking2》紀錄片外，更分享他的跑步理念和訓練心得，當中的重點包括：





- No Human is Limited 


- 突破自己


- 對自己要有紀律


- 要好好操控自己的意志，不然會被操控過來


- 保持正面與樂觀心態


- 享受過程與比賽





























分享過後，Eliud Kipchoge更身體力行，帶領一眾參加者進行一節Nike+ Run Club
Home Run，由灣仔出發，沿海傍跑至上環中山紀念公園，再折返至中環碼頭，一同體驗跑步的樂趣。





Breaking2紀錄片重溫  



#TalkSole #Sole聞風 #EliudKipchoge #BreakThrough #BreakThroughHKG #NRC 





"
[Sole Fresh] 2017大魔王 AIR JORDAN 11 Retro－ “WIN LIKE 82” ,2017年10月31日 星期二,"



“WIN LIKE 82”除了AIR JORDAN XXXII LOW之外，還有大家最愛的 AIR JORDAN XI。傳統白色尼龍面布搭配深海藍色漆皮，後跟JUMPMAN LOGO則以大家最熟悉的北卡藍作為配色,向他的母校以及 82 年拉開其傳奇序幕的勝利致敬。




“WIN LIKE 82”系列靈感來源於1982年Michael Jordan帶領母校－北卡羅萊納大學（簡稱：北卡或UNC）殺入 NCAA 大學籃球總決賽，當時年僅19歲的 Michael Jordan，在最後的時刻投進了關鍵致勝一球，以1分之微擊敗對手Geogetown Hoyas，成功為北卡奪得當年 NCAA 總冠軍。





是次AIR JORDAN XI－ “WIN LIKE 82” 漆皮部份的剪裁與上年的 Air Jordan XI Retro ""SPACE JAM""相差無異，比以過往的Air Jordan XI Retro 版本拉高了，而且漆皮部份的邊位更保留了剪裁點細節。













水晶外底搭配黑藍交織的碳纖維承托板





Air Jordan 11 Retro “WIN LIKE 82” / ""UNC""產品編號：378037-123




當然不少得實著分享吧！！！







雖然是深藍的“WIN LIKE 82”，但小篇覺得它卻有一絲""Concord""的味道。


#TalkSole #SoleFresh #UNC #NCAA #Championship #AirJordanXI #WinLike82 #UNCBASKETBALL 


"
[Sole師傅鞋評] Lebron XV • 系列代表作,2017年10月29日 星期日,"







小編自LebronX後從無間斷過任何主線/ 副線Soldier 系列。

而LebronX一路以來在心目中的地位一向都佔重要一席位。

因為他那全腳掌Zoom Max + 一個又一個獨特的配色，使得我人生第一次一款鞋入手兩個配色，對當時還是學生時代的我，算是相當大負擔，但亦證明LebronX對我的吸引力。

但自第10代後，都感覺到系列遇上了瓶頸，第11代的可拆卸鞋墊還好，但每代總有一種舊酒新瓶的感覺。第12-14代則尤其明顯。
第10代以後的每一代都回不了第10代那時的輝煌成就，當年即使標著$180的標價，亦無阻它登上當年銷售量皇者的寶座。一眾配色，以明星賽的Area72 為首等配色都掀起一陣搶購潮，可謂是系列的一個高潮。隨後的每一代無論在配色，話題，曝光率都不再是同一層次。




2017年，終於迎來系列第15代。

終於見證著Zoom Max 的回歸。

亦終於在詹皇系列用上了以詹皇量身改良過的Flyknit，名為BattleKnit。



BattleKnit 本身已令配色靈活性大大提高，首發的Ghost 及其後的Ashes都令人心動，無論在場內/場外著用都通能夠輕鬆駕馭。更何況和KITH聯乘的Lebron 15亦絕對有話題性及注目度。



對Ashes 配色的簡評已於早日發佈。



今日，就一起瞭解一下它表現有否配得上大家對它一路以來的期待。



小編評測資料:

身高: 189cm

體重: 180 lbs

打法: 3,4,5 號位為主



注意！！

雖然鞋面比過往幾代來得有彈性及柔軟，綁緊鞋帶後貼服程度都比之前好，但始終都是一體式鞋面，建議先試試碼數。小編就一路其他鞋款都是US11, Lebron 12往後都穿著US10.5，試過穿著US11, 鞋面，鞋頭總有種鞋帶如何努力綁都綁不緊，不貼服的感覺。US10.5則剛好。




緩震: 10/10 (貼地感愛好者: 7/10)

10分滿分。

將評價甚高第十代的中底Zoom Max 的優點繼續承傳，再將中底硬梆梆，不夠靈活性的垢病改良成分割式，令到今代能在優越緩震及反應性中亦不失靈活度。


首先得先澄清，個人鐘愛於緩震大於貼地感。於這部分如果重視貼地感的朋友可能會不太喜愛。



前掌Zoom Max 感覺用上更高psi去提高反應及穩定性。所以亦較難感受到明顯彈彈的感覺，換來比較平穩，但安心亦足夠的回饋。


Traction 抓地力: 10/10

這次用上很進取的紋路。


在每一塊都用上立體突出的紋路，在室外，室內都提供到安心的抓地力。唯一要擔心是外底紋路的耐磨性，始終進取的外底相對上都會因磨擦而損耗。


Fit & Support 包覆及支撐 9/10

鞋面物料的改變，最明顯改善的範疇就是這項。

過往幾代詹皇鞋款鞋面都為一體式再加以搭載Flywire。鞋面雖然物料一路都有變更，但始終都偏硬。容易由於鞋頭至中足有空隙而導致的不貼服及不舒適。


而今代改用了更為軟身但亦保持所需結構性的BattleKnit。


本身鞋面正中已充滿彈性方便著用，提高舒適性。而在需要支撐及保護的區域如前掌外側，中足，足跟都有Flywire 或加以提高支持性的BattleKnit 覆蓋。

腳跟內亦有足夠填充物去使足跟不會移位，最頂鞋帶孔亦可以將腳跟牢牢鎖實。

加上只在3/4腳掌用上Zoom Max 中底，前掌前端則只用上Phylon, 在前掌外側的接駁位亦有考慮到因為中底緩震因素而導致的不穩定性而以Phylon包覆。



總括來說，無論你是Lebron 粉絲，還是厭惡他都好。Lebron15是一對如果對球鞋科技有要求或好奇的人都應該一試。更何況我認為它即使只作休閒鞋的話亦絕無失禮。當然，打算一物兩用就更加划算了。






找了一堆舊照片，看著Lebron 系列自第十代後的改變，來到了今年第15代終於再次掀起一陣令我對每只配色都有衝動想入手的感覺。很懷念，亦很欣慰，Nike 的老大哥Lebron James的簽名款終於都再次對得起它的標價和期望。
期待著聖誕，明星賽將有的配色，更期待到季後賽Nike會否將十五代將次帶入Elite 系列之類的






































































"
[Sole 聞風]  Eliud Kipchoge分享《Breaking2》的背後,2017年10月26日 星期四,"


















里約奧運馬拉松金牌得主Eliud Kipchoge近日來港與一眾傳媒跑手及本地跑步愛好者分享，除了一同欣賞由National Geographic和Nike合作完成的《Breaking2》紀錄片外，更分享他的跑步理念和訓練心得，當中的重點包括：





- No Human is Limited 


- 突破自己


- 對自己要有紀律


- 要好好操控自己的意志，不然會被操控過來


- 保持正面與樂觀心態


- 享受過程與比賽





























分享過後，Eliud Kipchoge更身體力行，帶領一眾參加者進行一節Nike+ Run Club
Home Run，由灣仔出發，沿海傍跑至上環中山紀念公園，再折返至中環碼頭，一同體驗跑步的樂趣。





Breaking2紀錄片重溫  



#TalkSole #Sole聞風 #EliudKipchoge #BreakThrough #BreakThroughHKG #NRC 





"
[Sole Fresh] AIR JORDAN XXXII LOW PF－ “WIN LIKE 82” ,2017年10月20日 星期五,"








“WIN LIKE 82”系列靈感來源於1982年Michael Jordan帶領母校－北卡羅萊納大學（簡稱：北卡或UNC）殺入 NCAA 大學籃球總決賽，當時年僅19歲的 Michael Jordan，在最後的時刻投進了關鍵致勝一球，以1分之微擊敗對手Geogetown Hoyas，成功為北卡奪得當年 NCAA 總冠軍，同時也是一個傳奇的開始。此外 AIR JORDAN XXXII LOW採用了代表著母校的北卡藍和白為主調，再配襯深海藍和銀色JUMPMAN LOGO，完美地註釋了”UNC”








把AIR JORDAN 2的”Wings”標誌元素移植到AIR JORDAN XXXII呈現於鞋舌




AIR JORDAN XXXII LOW擁有自己一套獨特的Flyknit編織方法




半透明外底紋路設計貫徹了今次的代數「XXX-II」。






除此之外，前掌印有招牌JUMPMAN LOGO，而外底後跟位置大家會發現一處藍色油漬，這也呼應了北卡羅萊納大學焦油踵隊的一個細節。




中底採用了前後掌分離式特大ZOOM AIR，當然不少得Jordan Brand的專利－FlightSpeed技術，加強Zoom Air爆發力。
AJ32 中足更加入了擁有抗扭功能的碳纖維承托板。





鞋舌還有一個標章－ ‘CEILINE ROOF CHAMPION’ 源自於去年Michael Jordan演說中的一句""I wish you guys nothing but the best. The ceiling is the roof. Let’s make it happen.”




鞋身內籠特選質感的三角面料以及後跟厚厚的襯棉。




後跟傘形穩定模塑，天藍和深海藍的配搭色系更顯立體。


精緻的「23」鞋扣




鞋墊印有「XXXII」





“WIN LIKE 82”又怎會只有AIR JORDAN XXXII LOW PF呢？當然不少得我們的大魔王AIR JORDAN 11 !!!

下回就讓我們TALKSOLE為大家帶來AIR JORDAN 11-""WIN LIKE 82""的開箱吧！！！

#TalkSole #SoleFresh #UNC #NCAA #Championship #AirJordanXXXII #WinLike82 #UNCBASKETBALL 

"
[Sole師傅鞋評] 安全至上，為靈活長人而設的Nike Air Max Dominate EP,2017年11月29日 星期三,"







在NBA 賽場上不難發現Air Max Dominate 的身影，塘鵝雙塔在本賽季每場也是穿上自己獨有的Air Max Dominate PE上場，老將Vince Carter 亦以此作戰鞋，從外形及穿著的球員，相信此鞋的定位是跟Air Max Audacity 2017 相同。



鞋面用上透氣網眼設計，外露的Air Bag加中筒設計，從外則看來是較傳統的Nike球鞋設計，一個大剔在鞋則，但小編覺得設計亮點在內則的垂直大Nike 字樣，比球鞋外則還要搶眼。


















舒適度

鞋面以網眼設計，光看外表已感受到鞋身透氣度十足，而且有助減低鞋身重量，鞋身亦不會出現首次穿著時過硬難以屈曲的情況，中底用上Phylon泡綿，而後跟則用上外露Max Air，每次起跳著地，Max Air氣墊有助減去大部分衝擊力，對膝蓋及腳踭壓力減至最低，而著地後回彈起跳時Max Air 的反應良好，於爭搶籃板球時的連續跳躍提供額外的動能














保護性

在低筒球鞋當道的今天，一看球鞋的中筒設計已經有安全感，而且球鞋有內靴設計，穿著後內靴加上鞋筒，令雙腳直至腳眼位置也被球鞋緊貼包覆著，為足踝提供良好保護，大大減低起跳著地踏到腳面翻船的傷害。








在橫向移動或急停轉向時，球鞋亦能鎖緊雙腳，減少橫移急停時扭傷的機會，但在高保護性的代價就是減低了靈活性，在內靴加中筒的包覆下，腳踝被包著後減低了靈活性，在最近常穿的是PG1，開始時完全不習慣，腳踝有被阻礙的感覺，加上鞋底因Max Air 的厚度，減低球鞋的貼地感，要經過一陣子才能習慣雙腳的感覺，但對於保護性的內線球鞋，其靈活性算是較高，曾經試過有些內線球員的球鞋，鎖死腳踝甚至難以橫向移動。




耐用度

鞋底用全橡膠外底，人字形鞋底紋路，前掌轉向的受力點則用上圓環形紋路，提供良好抓地力，急停及轉向亦得心應手，而XDR橡膠在經過數次室外場及場內場的球賽後亦不見磨損，鞋面的摺痕不明顯，可見球鞋的耐用度十足。










總結

p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px 'PingFang TC'; color: #454545}
p.p2 {margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px 'PingFang TC'; color: #454545; min-height: 17.0px}
p.p3 {margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px Helvetica; color: #454545}
span.s1 {font: 12.0px 'PingFang TC'}
span.s2 {font: 12.0px Helvetica}



此球為內線球員而設，提供良好保護性及緩衝力，但由於現今內線球員愈來愈靈活，因此球鞋設計亦不會單純追求保護性，此作算是能夠兼顧保護性及靈活性，對於作為後衛的小編亦沒太大影響，但如果你是速度為主，而打法亦要經常運球轉向的話，相信此球鞋不會是你的選擇。





Cousins PE





A.Davis PE



"
[Sole師傅鞋評] 安全至上，為靈活長人而設的Nike Air Max Dominate EP,2017年11月29日 星期三,"







在NBA 賽場上不難發現Air Max Dominate 的身影，塘鵝雙塔在本賽季每場也是穿上自己獨有的Air Max Dominate PE上場，老將Vince Carter 亦以此作戰鞋，從外形及穿著的球員，相信此鞋的定位是跟Air Max Audacity 2017 相同。



鞋面用上透氣網眼設計，外露的Air Bag加中筒設計，從外則看來是較傳統的Nike球鞋設計，一個大剔在鞋則，但小編覺得設計亮點在內則的垂直大Nike 字樣，比球鞋外則還要搶眼。


















舒適度

鞋面以網眼設計，光看外表已感受到鞋身透氣度十足，而且有助減低鞋身重量，鞋身亦不會出現首次穿著時過硬難以屈曲的情況，中底用上Phylon泡綿，而後跟則用上外露Max Air，每次起跳著地，Max Air氣墊有助減去大部分衝擊力，對膝蓋及腳踭壓力減至最低，而著地後回彈起跳時Max Air 的反應良好，於爭搶籃板球時的連續跳躍提供額外的動能














保護性

在低筒球鞋當道的今天，一看球鞋的中筒設計已經有安全感，而且球鞋有內靴設計，穿著後內靴加上鞋筒，令雙腳直至腳眼位置也被球鞋緊貼包覆著，為足踝提供良好保護，大大減低起跳著地踏到腳面翻船的傷害。








在橫向移動或急停轉向時，球鞋亦能鎖緊雙腳，減少橫移急停時扭傷的機會，但在高保護性的代價就是減低了靈活性，在內靴加中筒的包覆下，腳踝被包著後減低了靈活性，在最近常穿的是PG1，開始時完全不習慣，腳踝有被阻礙的感覺，加上鞋底因Max Air 的厚度，減低球鞋的貼地感，要經過一陣子才能習慣雙腳的感覺，但對於保護性的內線球鞋，其靈活性算是較高，曾經試過有些內線球員的球鞋，鎖死腳踝甚至難以橫向移動。




耐用度

鞋底用全橡膠外底，人字形鞋底紋路，前掌轉向的受力點則用上圓環形紋路，提供良好抓地力，急停及轉向亦得心應手，而XDR橡膠在經過數次室外場及場內場的球賽後亦不見磨損，鞋面的摺痕不明顯，可見球鞋的耐用度十足。










總結

p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px 'PingFang TC'; color: #454545}
p.p2 {margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px 'PingFang TC'; color: #454545; min-height: 17.0px}
p.p3 {margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px Helvetica; color: #454545}
span.s1 {font: 12.0px 'PingFang TC'}
span.s2 {font: 12.0px Helvetica}



此球為內線球員而設，提供良好保護性及緩衝力，但由於現今內線球員愈來愈靈活，因此球鞋設計亦不會單純追求保護性，此作算是能夠兼顧保護性及靈活性，對於作為後衛的小編亦沒太大影響，但如果你是速度為主，而打法亦要經常運球轉向的話，相信此球鞋不會是你的選擇。





Cousins PE





A.Davis PE



"
"[Sole Off White] ""The Ten"" 暫告一段落 入手分享",2017年11月28日 星期二,"




掀起全城波鞋頭抽鞋熱潮的 ""The Ten"" 終於告一段落。

結果小編跟友人共中了Air Jordan 1, Air Force 1, Air Max 90, Air Max 97 OG, Air Presto.

先分享下每對入手方法：(按次序排列）

 Air Jordan 1: EXI.T (Instagram Raffle）

 Air Max 90: Nike PS7

 Air Presto: Nike PS7 (友人抽中)

 Air Max 97 OG: Nike PS7 (友人抽中)

 Air Force 1: Off-White (Instagram Raffle)



一生甚少中獎，抽鞋亦只中過一次，當日收到EXI.T電話都有覺得被玩電話整蠱之嫌。

直到翌日到門市取貨才有真的中獎的感覺。人生中第一對Air Jordan 1終於入手。細節位多得不能盡錄，三色鞋帶跟各個Revealing Pack的細節，真的是魔鬼在細節的代表。





其後跟友人同時收到PS7的短訊通知，每人各中Air Max 90及 Air Presto各一，當場開心得難以置信。










Air Max 97 OG由友人抽中，只有心存感激。





到派彩都大致上完結，打算以以上4對作是次活動的總結時，收到由Off White Instagram 發送的DM告知抽中Air Force 1, 居然有幸可以抽中5對啊。這超過半數的命中率至今亦令人難以置信。







整體系列細節及Off White元素都令人讚歎，怪不得會令一衆鞋迷發狂追求。我至今還想入手一對The Ten Hyperdunk 讓我亦可以在場上亦可以Off White 一下。後期的Nike Online 則全軍覆沒，9張祝下次好運。我猜只好擴大自己的中獎機會及多做善事吧，應該有幫助吧。

PS. 不得不提是PS7的應變速度。首日抽Air Jordan 1+ Blazer 人龍速度慢，排隊聽聞2小時起。翌日已作應變，加設多部iPad以加快人龍前進速度，即使在抽Vapormax當日即使人龍頗長，但等候時間亦相對快。這值得一讚。



大家對這次的Collab 又有何意見及評價？不妨交流一下吧


















"
